category,raw_sketch_ind,fc6_sketch_ind,raw_sketch_pca_ind,fc6_sketch_pca_ind
airplane,2529,1288,2529,1288
airplane,2591,5264,2591,5264
airplane,2620,11340,2620,11340
airplane,2649,5231,2649,5231
airplane,2681,3208,2681,3208
airplane,2718,5203,2718,5203
airplane,2746,3243,2746,3243
airplane,2762,11700,2762,11700
airplane,2787,9223,2787,9223
airplane,2817,1267,2817,1267
airplane,2870,12052,2870,12052
airplane,2889,5155,2889,5155
airplane,2918,9988,2918,9988
airplane,2944,5140,2944,5140
airplane,2979,7890,2979,7890
airplane,3038,3287,3038,3287
airplane,3061,10156,3061,10156
airplane,3094,10238,3094,10238
airplane,3131,8304,3131,8304
airplane,3140,326,3140,326
airplane,3195,5603,3195,5603
airplane,3208,11753,3208,11753
airplane,3243,2944,3243,2944
airplane,3287,7757,3287,7757
airplane,3323,412,3323,412
airplane,3328,5572,3328,5572
airplane,3377,8325,3377,8325
airplane,3396,9090,3396,9090
airplane,3428,10201,3428,10201
airplane,3478,5538,3478,5538
airplane,3506,2979,3506,2979
airplane,3540,10888,3540,10888
airplane,3581,5504,3581,5504
airplane,3592,7796,3592,7796
airplane,3619,3038,3619,3038
airplane,3673,5492,3673,5492
airplane,3690,382,3690,382
airplane,3715,5453,3715,5453
airplane,3775,7808,3775,7808
airplane,3793,949,3793,949
airplane,3816,3061,3816,3061
airplane,3855,9143,3855,9143
airplane,3886,9163,3886,9163
airplane,3920,3094,3920,3094
airplane,3951,5416,3951,5416
airplane,3994,1339,3994,1339
airplane,4026,11727,4026,11727
airplane,4045,11316,4045,11316
airplane,4085,5402,4085,5402
airplane,4113,3131,4113,3131
airplane,4155,3323,4155,3323
airplane,4176,6190,4176,6190
airplane,4221,8866,4221,8866
airplane,4224,1899,4224,1899
airplane,4256,11991,4256,11991
airplane,4295,7036,4295,7036
airplane,4323,8464,4323,8464
airplane,4352,7003,4352,7003
airplane,4397,762,4397,762
airplane,4429,1927,4429,1927
airplane,4479,844,4479,844
airplane,4482,7413,4482,7413
airplane,4522,6969,4522,6969
airplane,4575,724,4575,724
airplane,4596,6930,4596,6930
airplane,4617,8631,4617,8631
airplane,4656,8586,4656,8586
airplane,4686,1962,4686,1962
airplane,4704,6900,4704,6900
airplane,4745,11045,4745,11045
airplane,4793,1625,4793,1625
airplane,4810,2011,4810,2011
airplane,4839,7429,4839,7429
airplane,4874,9802,4874,9802
airplane,4904,8645,4904,8645
airplane,4957,6851,4957,6851
airplane,4983,9878,4983,9878
airplane,5017,2034,5017,2034
airplane,5025,6816,5025,6816
airplane,5084,1575,5084,1575
airplane,5088,6806,5088,6806
airplane,5140,10343,5140,10343
airplane,5155,7066,5155,7066
airplane,5203,1632,5203,1632
airplane,5231,10263,5231,10263
airplane,5264,7288,5264,7288
airplane,5304,1703,5304,1703
airplane,5337,10998,5337,10998
airplane,5372,8513,5372,8513
airplane,5402,1754,5402,1754
airplane,5416,1666,5416,1666
airplane,5453,7247,5453,7247
airplane,5492,7359,5492,7359
airplane,5504,10554,5504,10554
airplane,5538,826,5538,826
airplane,5572,10753,5572,10753
airplane,5603,7207,5603,7207
airplane,5633,8555,5633,8555
airplane,5678,10444,5678,10444
airplane,5726,7181,5726,7181
airplane,5740,11959,5740,11959
airplane,5787,1783,5787,1783
airplane,5795,7157,5795,7157
airplane,5841,778,5841,778
airplane,5886,7376,5886,7376
airplane,5889,10959,5889,10959
airplane,5938,8502,5938,8502
airplane,5962,1798,5962,1798
airplane,5991,1853,5991,1853
airplane,6036,7112,6036,7112
airplane,6069,11009,6069,11009
airplane,6083,9828,6083,9828
airplane,6119,7101,6119,7101
airplane,6162,1884,6162,1884
airplane,6190,2064,6190,2064
airplane,6220,8700,6220,8700
airplane,6245,6779,6245,6779
airplane,6285,2083,6285,2083
airplane,6320,638,6320,638
airplane,6339,12128,6339,12128
airplane,6380,8776,6380,8776
airplane,6403,9888,6403,9888
airplane,6434,10930,6434,10930
airplane,6478,2318,6478,2318
airplane,6508,11128,6508,11128
airplane,6528,6434,6528,6434
airplane,6569,2363,6569,2363
airplane,6604,11162,6604,11162
airplane,6651,594,6651,594
airplane,6662,7552,6662,7552
airplane,6716,6403,6716,6403
airplane,6740,10704,6740,10704
airplane,6779,8812,6779,8812
airplane,6806,6380,6806,6380
airplane,6816,2385,6816,2385
airplane,6851,6339,6851,6339
airplane,6900,2400,6900,2400
airplane,6930,9683,6930,9683
airplane,6969,6320,6969,6320
airplane,7003,6285,7003,6285
airplane,7036,1479,7036,1479
airplane,7066,2446,7066,2446
airplane,7101,8846,7101,8846
airplane,7112,6245,7112,6245
airplane,7157,573,7157,573
airplane,7181,6220,7181,6220
airplane,7207,2485,7207,2485
airplane,7247,6478,7247,6478
airplane,7288,11840,7288,11840
airplane,7311,2280,7311,2280
airplane,7359,1518,7359,1518
airplane,7376,6740,7376,6740
airplane,7413,10284,7413,10284
airplane,7429,11929,7429,11929
airplane,7472,7472,7472,7472
airplane,7498,2122,7498,2122
airplane,7551,683,7551,683
airplane,7552,6716,7552,6716
airplane,7604,6662,7604,6662
airplane,7626,11089,7626,11089
airplane,7655,8428,7655,8428
airplane,7700,2165,7700,2165
airplane,7743,8724,7743,8724
airplane,7757,7498,7757,7498
airplane,7796,8747,7796,8747
airplane,7808,9723,7808,9723
airplane,7870,6651,7870,6651
airplane,7890,2190,7890,2190
airplane,7912,6604,7912,6604
airplane,7950,1563,7950,1563
airplane,7978,651,7978,651
airplane,8030,10742,8030,10742
airplane,8036,7551,8036,7551
airplane,8070,2225,8070,2225
airplane,8096,6569,8096,6569
airplane,8142,2266,8142,2266
airplane,8182,11876,8182,11876
airplane,8223,6528,8223,6528
airplane,8243,6508,8243,6508
airplane,8265,12168,8265,12168
airplane,8304,876,8304,876
airplane,8325,5088,8325,5088
airplane,8379,7311,8379,7311
airplane,8406,4904,8406,4904
airplane,8428,4224,8428,4224
airplane,8464,34,8464,34
airplane,8502,8142,8502,8142
airplane,8513,4429,8513,4429
airplane,8555,9486,8555,9486
airplane,8586,3920,8586,3920
airplane,8631,3478,8631,3478
airplane,8645,1115,8645,1115
airplane,8700,4874,8700,4874
airplane,8724,9436,8724,9436
airplane,8747,4256,8747,4256
airplane,8776,10473,8776,10473
airplane,8812,4839,8812,4839
airplane,8846,10877,8846,10877
airplane,8866,4656,8866,4656
airplane,8906,11401,8906,11401
airplane,8957,12283,8957,12283
airplane,8988,4479,8988,4479
airplane,9012,224,9012,224
airplane,9052,3775,9052,3775
airplane,9082,4957,9082,4957
airplane,9090,1122,9090,1122
airplane,9143,11571,9143,11571
airplane,9163,9569,9163,9569
airplane,9213,3619,9213,3619
airplane,9223,9340,9223,9340
airplane,9269,7950,9269,7950
airplane,9305,211,9305,211
airplane,9340,3428,9340,3428
airplane,9374,9407,9374,9407
airplane,9407,11663,9407,11663
airplane,9436,10591,9436,10591
airplane,9441,3951,9441,3951
airplane,9486,4686,9486,4686
airplane,9505,10597,9505,10597
airplane,9562,11490,9562,11490
airplane,9569,9374,9569,9374
airplane,9603,11588,9603,11588
airplane,9647,8030,9647,8030
airplane,9683,3855,9683,3855
airplane,9723,11640,9723,11640
airplane,9729,12068,9729,12068
airplane,9761,3540,9761,3540
airplane,9802,4323,9802,4323
airplane,9828,93,9828,93
airplane,9878,172,9878,172
airplane,9888,3816,9888,3816
airplane,9921,8096,9921,8096
airplane,9981,4793,9981,4793
airplane,9988,4352,9988,4352
airplane,10025,9505,10025,9505
airplane,10060,4745,10060,4745
airplane,10098,10121,10098,10121
airplane,10121,4221,10121,4221
airplane,10156,8243,10156,8243
airplane,10201,10025,10201,10025
airplane,10238,3886,10238,3886
airplane,10263,7978,10263,7978
airplane,10284,11438,10284,11438
airplane,10327,3592,10327,3592
airplane,10343,3793,10343,3793
airplane,10391,1050,10391,1050
airplane,10424,4397,10424,4397
airplane,10444,4295,10444,4295
airplane,10473,10060,10473,10060
airplane,10524,10098,10524,10098
airplane,10554,4704,10554,4704
airplane,10591,9562,10591,9562
airplane,10597,10825,10597,10825
airplane,10634,4810,10634,4810
airplane,10660,3506,10660,3506
airplane,10704,1195,10704,1195
airplane,10742,8265,10742,8265
airplane,10753,3581,10753,3581
airplane,10786,5017,10786,5017
airplane,10825,15,10825,15
airplane,10877,1155,10877,1155
airplane,10888,4085,10888,4085
airplane,10930,9761,10930,9761
airplane,10959,8036,10959,8036
airplane,10998,3328,10998,3328
airplane,11009,9603,11009,9603
airplane,11045,10327,11045,10327
airplane,11089,11536,11089,11536
airplane,11128,11383,11128,11383
airplane,11162,3690,11162,3690
airplane,11188,4596,11188,4596
airplane,11212,9441,11212,9441
airplane,11233,5025,11233,5025
airplane,11295,4155,11295,4155
airplane,11316,5084,11316,5084
airplane,11340,3994,11340,3994
airplane,11383,283,11383,283
airplane,11401,150,11401,150
airplane,11438,3715,11438,3715
airplane,11460,9305,11460,9305
airplane,11490,4113,11490,4113
airplane,11536,10524,11536,10524
airplane,11571,8223,11571,8223
airplane,11588,9269,11588,9269
airplane,11640,11460,11640,11460
airplane,11663,4026,11663,4026
airplane,11700,1009,11700,1009
airplane,11727,4522,11727,4522
airplane,11753,9647,11753,9647
airplane,11806,1066,11806,1066
airplane,11831,1223,11831,1223
airplane,11840,8070,11840,8070
airplane,11876,3396,11876,3396
airplane,11929,12236,11929,12236
airplane,11959,4045,11959,4045
airplane,11991,4617,11991,4617
airplane,12016,3673,12016,3673
airplane,12052,111,12052,111
airplane,12068,4176,12068,4176
airplane,12114,8182,12114,8182
airplane,12128,4983,12128,4983
airplane,12168,4482,12168,4482
airplane,12195,3377,12195,3377
airplane,12236,4575,12236,4575
airplane,12283,7912,12283,7912
ape,24,7570,24,7570
ape,42,558,42,558
ape,67,2234,67,2234
ape,121,3740,121,3740
ape,129,4536,129,4536
ape,184,6337,184,6337
ape,210,11096,210,11096
ape,243,649,243,649
ape,282,8838,282,8838
ape,289,11884,289,11884
ape,331,9895,331,9895
ape,353,3836,353,3836
ape,396,6313,396,6313
ape,424,6635,424,6635
ape,461,10265,461,10265
ape,504,8743,504,8743
ape,542,7504,542,7504
ape,558,2182,558,2182
ape,579,8420,579,8420
ape,609,11847,609,11847
ape,649,4371,649,4371
ape,677,2427,677,2427
ape,729,9533,729,9533
ape,738,10074,738,10074
ape,796,6390,796,6390
ape,808,10289,808,10289
ape,852,6482,852,6482
ape,880,609,880,609
ape,923,121,923,121
ape,955,9477,955,9477
ape,966,8775,966,8775
ape,1018,3763,1018,3763
ape,1049,10222,1049,10222
ape,1078,4449,1078,4449
ape,1106,12258,1106,12258
ape,1128,2333,1128,2333
ape,1177,6446,1177,6446
ape,1213,10407,1213,10407
ape,1222,11164,1222,11164
ape,1263,8805,1263,8805
ape,1290,880,1290,880
ape,1318,4483,1318,4483
ape,1360,11616,1360,11616
ape,1397,8083,1397,8083
ape,1422,6617,1422,6617
ape,1441,1508,1441,1508
ape,1500,6524,1500,6524
ape,1508,4400,1508,4400
ape,1552,2383,1552,2383
ape,1576,3786,1576,3786
ape,1615,1049,1615,1049
ape,1649,6590,1649,6590
ape,1693,579,1693,579
ape,1707,12004,1707,12004
ape,1728,6543,1728,6543
ape,1785,11110,1785,11110
ape,1807,4425,1807,4425
ape,1844,1128,1844,1128
ape,1887,2259,1887,2259
ape,1888,11472,1888,11472
ape,1936,7529,1936,7529
ape,1971,11604,1971,11604
ape,2000,2359,2000,2359
ape,2045,6422,2045,6422
ape,2079,2275,2079,2275
ape,2080,282,2080,282
ape,2118,2080,2118,2080
ape,2149,8716,2149,8716
ape,2182,4011,2182,4011
ape,2234,4141,2234,4141
ape,2259,10349,2259,10349
ape,2275,3985,2275,3985
ape,2333,8553,2333,8553
ape,2359,1807,2359,1807
ape,2383,12138,2383,12138
ape,2427,7166,2427,7166
ape,2452,7116,2452,7116
ape,2471,796,2471,796
ape,2500,4191,2500,4191
ape,2544,9710,2544,9710
ape,2568,11949,2568,11949
ape,2613,1844,2613,1844
ape,2640,7421,2640,7421
ape,2684,11014,2684,11014
ape,2703,1887,2703,1887
ape,2735,7047,2735,7047
ape,2757,24,2757,24
ape,2811,1888,2811,1888
ape,2831,9599,2831,9599
ape,2866,3952,2866,3952
ape,2883,10752,2883,10752
ape,2913,7012,2913,7012
ape,2967,7082,2967,7082
ape,2993,1615,2993,1615
ape,3011,7374,3011,7374
ape,3054,11539,3054,11539
ape,3100,1707,3100,1707
ape,3107,9812,3107,9812
ape,3157,8217,3157,8217
ape,3192,8503,3192,8503
ape,3223,11555,3223,11555
ape,3233,10979,3233,10979
ape,3291,8537,3291,8537
ape,3303,808,3303,808
ape,3356,1728,3356,1728
ape,3385,7275,3385,7275
ape,3397,4033,3397,4033
ape,3441,1649,3441,1649
ape,3462,4081,3462,4081
ape,3501,7258,3501,7258
ape,3539,9742,3539,9742
ape,3566,7331,3566,7331
ape,3604,1693,3604,1693
ape,3644,9850,3644,9850
ape,3653,12096,3653,12096
ape,3698,11994,3698,11994
ape,3740,1785,3740,1785
ape,3763,4116,3763,4116
ape,3786,7226,3786,7226
ape,3836,7187,3836,7187
ape,3867,9608,3867,9608
ape,3890,738,3890,738
ape,3917,8600,3917,8600
ape,3952,6980,3952,6980
ape,3985,6799,3985,6799
ape,4011,2079,4011,2079
ape,4033,1576,4033,1576
ape,4081,6771,4081,6771
ape,4116,9682,4116,9682
ape,4141,10826,4141,10826
ape,4191,9857,4191,9857
ape,4210,1106,4210,1106
ape,4252,7483,4252,7483
ape,4259,677,4259,677
ape,4319,11507,4319,11507
ape,4335,4319,4335,4319
ape,4371,6723,4371,6723
ape,4400,8690,4400,8690
ape,4425,10974,4425,10974
ape,4449,6709,4449,6709
ape,4483,2118,4483,2118
ape,4536,10520,4536,10520
ape,4573,8125,4573,8125
ape,4607,4335,4607,4335
ape,4615,6660,4615,6660
ape,4644,2149,4644,2149
ape,4693,3867,4693,3867
ape,4730,1552,4730,1552
ape,4736,11931,4736,11931
ape,4794,8470,4794,8470
ape,4815,8659,4815,8659
ape,4846,729,4846,729
ape,4876,10462,4876,10462
ape,4927,10738,4927,10738
ape,4938,4210,4938,4210
ape,4982,10570,4982,10570
ape,5005,1936,5005,1936
ape,5024,6971,5024,6971
ape,5058,8617,5058,8617
ape,5096,6935,5096,6935
ape,5130,7449,5130,7449
ape,5182,4252,5182,4252
ape,5184,11041,5184,11041
ape,5237,3917,5237,3917
ape,5258,1971,5258,1971
ape,5301,10093,5301,10093
ape,5329,42,5329,42
ape,5356,6882,5356,6882
ape,5392,4259,5392,4259
ape,5434,8150,5434,8150
ape,5461,2000,5461,2000
ape,5480,852,5480,852
ape,5513,6853,5513,6853
ape,5567,3890,5567,3890
ape,5577,2045,5577,2045
ape,5611,6839,5611,6839
ape,5638,9541,5638,9541
ape,5688,67,5688,67
ape,5710,6279,5710,6279
ape,5749,10873,5749,10873
ape,5762,9448,5762,9448
ape,5799,3462,5799,3462
ape,5826,2967,5826,2967
ape,5880,5567,5880,5567
ape,5907,12037,5907,12037
ape,5940,9106,5940,9106
ape,5956,7951,5956,7951
ape,6005,7806,6005,7806
ape,6029,5513,6029,5513
ape,6055,4876,6055,4876
ape,6093,10886,6093,10886
ape,6140,2993,6140,2993
ape,6157,1018,6157,1018
ape,6201,11661,6201,11661
ape,6231,3441,6231,3441
ape,6241,3011,6241,3011
ape,6279,5480,6279,5480
ape,6313,11766,6313,11766
ape,6337,353,6337,353
ape,6390,1318,6390,1318
ape,6422,9315,6422,9315
ape,6446,5461,6446,5461
ape,6482,11305,6482,11305
ape,6524,4927,6524,4927
ape,6543,3054,6543,3054
ape,6590,10656,6590,10656
ape,6617,11285,6617,11285
ape,6635,4846,6635,4846
ape,6660,5577,6660,5577
ape,6709,2831,6709,2831
ape,6723,10789,6723,10789
ape,6771,5710,6771,5710
ape,6799,8336,6799,8336
ape,6839,1213,6839,1213
ape,6853,7727,6853,7727
ape,6882,5688,6882,5688
ape,6935,2866,6935,2866
ape,6971,9977,6971,9977
ape,6980,7306,6980,7306
ape,7012,184,7012,184
ape,7047,1360,7047,1360
ape,7082,4573,7082,4573
ape,7116,2883,7116,2883
ape,7166,10207,7166,10207
ape,7187,4815,7187,4815
ape,7226,5638,7226,5638
ape,7258,396,7258,396
ape,7275,3501,7275,3501
ape,7306,2913,7306,2913
ape,7331,10470,7331,10470
ape,7374,9079,7374,9079
ape,7421,7754,7421,7754
ape,7449,9371,7449,9371
ape,7483,5611,7483,5611
ape,7504,9137,7504,9137
ape,7529,7839,7529,7839
ape,7570,210,7570,210
ape,7590,3100,7590,3100
ape,7644,3192,7644,3192
ape,7658,5237,7658,5237
ape,7706,289,7706,289
ape,7727,9242,7727,9242
ape,7754,7873,7754,7873
ape,7806,3223,7806,3223
ape,7839,8314,7839,8314
ape,7871,5184,7871,5184
ape,7873,3233,7873,3233
ape,7935,243,7935,243
ape,7951,966,7951,966
ape,7982,5058,7982,5058
ape,8003,3356,8003,3356
ape,8062,5182,8062,5182
ape,8083,1263,8083,1263
ape,8125,3291,8125,3291
ape,8150,10175,8150,10175
ape,8175,5130,8175,5130
ape,8217,9255,8217,9255
ape,8240,9994,8240,9994
ape,8266,11688,8266,11688
ape,8314,7935,8314,7935
ape,8336,5096,8336,5096
ape,8354,11366,8354,11366
ape,8411,3303,8411,3303
ape,8420,5258,8420,5258
ape,8470,5749,8470,5749
ape,8503,9193,8503,9193
ape,8537,12233,8537,12233
ape,8553,5434,8553,5434
ape,8600,5392,8600,5392
ape,8617,9766,8617,9766
ape,8659,9161,8659,9161
ape,8690,1222,8690,1222
ape,8716,4938,8716,4938
ape,8743,5356,8743,5356
ape,8775,3397,8775,3397
ape,8805,3107,8805,3107
ape,8838,9303,8838,9303
ape,8891,4982,8891,4982
ape,8908,5329,8908,5329
ape,8948,11420,8948,11420
ape,8990,8266,8990,8266
ape,9002,7871,9002,7871
ape,9035,11358,9035,11358
ape,9079,331,9079,331
ape,9106,11713,9106,11713
ape,9137,10636,9137,10636
ape,9161,5301,9161,5301
ape,9193,1290,9193,1290
ape,9242,3157,9242,3157
ape,9255,10534,9255,10534
ape,9303,5005,9303,5005
ape,9315,3385,9315,3385
ape,9371,5024,9371,5024
ape,9406,11453,9406,11453
ape,9408,7982,9408,7982
ape,9448,424,9448,424
ape,9477,10716,9477,10716
ape,9533,2568,9533,2568
ape,9541,6093,9541,6093
ape,9599,10319,9599,10319
ape,9608,10032,9608,10032
ape,9635,11818,9635,11818
ape,9682,504,9682,504
ape,9710,9635,9710,9635
ape,9742,4644,9742,4644
ape,9766,1441,9766,1441
ape,9812,6055,9812,6055
ape,9850,542,9850,542
ape,9857,8240,9857,8240
ape,9895,3539,9895,3539
ape,9938,2613,9938,2613
ape,9977,7658,9977,7658
ape,9994,3644,9994,3644
ape,10032,6029,10032,6029
ape,10074,1422,10074,1422
ape,10093,6005,10093,6005
ape,10141,8948,10141,8948
ape,10175,2640,10175,2640
ape,10207,7706,10207,7706
ape,10222,3604,10222,3604
ape,10265,11227,10265,11227
ape,10289,2684,10289,2684
ape,10319,8908,10319,8908
ape,10349,7644,10349,7644
ape,10376,2452,10376,2452
ape,10407,3698,10407,3698
ape,10462,1177,10462,1177
ape,10470,6241,10470,6241
ape,10520,923,10520,923
ape,10534,2471,10534,2471
ape,10570,12181,10570,12181
ape,10595,6231,10595,6231
ape,10636,8891,10636,8891
ape,10656,11198,10656,11198
ape,10716,1500,10716,1500
ape,10738,4615,10738,4615
ape,10752,2500,10752,2500
ape,10789,7590,10789,7590
ape,10826,6201,10826,6201
ape,10873,8062,10873,8062
ape,10886,8411,10886,8411
ape,10912,4607,10912,4607
ape,10974,6157,10974,6157
ape,10979,3653,10979,3653
ape,11014,129,11014,129
ape,11041,2544,11041,2544
ape,11096,6140,11096,6140
ape,11110,1078,11110,1078
ape,11164,10141,11164,10141
ape,11198,5956,11198,5956
ape,11227,10595,11227,10595
ape,11237,8175,11237,8175
ape,11285,955,11285,955
ape,11305,8003,11305,8003
ape,11358,461,11358,461
ape,11366,10912,11366,10912
ape,11420,5880,11420,5880
ape,11453,5799,11453,5799
ape,11472,2811,11472,2811
ape,11507,12194,11507,12194
ape,11539,4730,11539,4730
ape,11555,10376,11555,10376
ape,11604,2735,11604,2735
ape,11616,11785,11616,11785
ape,11661,5826,11661,5826
ape,11688,9408,11688,9408
ape,11713,3566,11713,3566
ape,11766,4736,11766,4736
ape,11785,1397,11785,1397
ape,11818,2757,11818,2757
ape,11847,11237,11847,11237
ape,11884,4794,11884,4794
ape,11931,9406,11931,9406
ape,11949,9938,11949,9938
ape,11994,8990,11994,8990
ape,12004,5762,12004,5762
ape,12037,5940,12037,5940
ape,12069,4693,12069,4693
ape,12096,8354,12096,8354
ape,12138,9035,12138,9035
ape,12181,2703,12181,2703
ape,12194,9002,12194,9002
ape,12233,12069,12233,12069
ape,12258,5907,12258,5907
axe,1,7588,1,7588
axe,52,1284,52,1284
axe,72,8061,72,8061
axe,126,1274,126,1274
axe,157,12053,157,12053
axe,165,1493,165,1493
axe,199,7904,199,7904
axe,250,9764,250,9764
axe,263,8118,263,8118
axe,307,10928,307,10928
axe,351,1176,351,1176
axe,378,7714,378,7714
axe,415,1574,415,1574
axe,418,1231,418,1231
axe,453,10290,453,10290
axe,495,7466,495,7466
axe,513,7876,513,7876
axe,550,12010,550,12010
axe,606,7346,606,7346
axe,613,1362,613,1362
axe,645,10558,645,10558
axe,696,1668,696,1668
axe,718,1377,718,1377
axe,744,7516,744,7516
axe,787,1437,787,1437
axe,823,10897,823,10897
axe,838,1621,838,1621
axe,873,7938,873,7938
axe,922,9794,922,9794
axe,933,10856,933,10856
axe,962,1151,962,1151
axe,1004,12084,1004,12084
axe,1046,1119,1046,1119
axe,1060,1566,1060,1566
axe,1119,7545,1119,7545
axe,1151,1324,1151,1324
axe,1176,8149,1176,8149
axe,1199,1520,1199,1520
axe,1231,9744,1231,9744
axe,1274,8088,1274,8088
axe,1284,7803,1284,7803
axe,1324,7822,1324,7822
axe,1362,7659,1362,7659
axe,1377,1469,1377,1469
axe,1437,7563,1437,7563
axe,1469,7748,1469,7748
axe,1493,7645,1493,7645
axe,1520,10835,1520,10835
axe,1566,7380,1566,7380
axe,1574,1662,1574,1662
axe,1621,7693,1621,7693
axe,1662,7403,1662,7403
axe,1668,8014,1668,8014
axe,1705,1199,1705,1199
axe,1745,10335,1745,10335
axe,1760,10949,1760,10949
axe,1816,7993,1816,7993
axe,1835,7868,1835,7868
axe,1874,8160,1874,8160
axe,1893,1060,1893,1060
axe,1947,7447,1947,7447
axe,1964,2021,1964,2021
axe,1994,1705,1994,1705
axe,2021,3200,2021,3200
axe,2055,10014,2055,10014
axe,2093,5227,2093,5227
axe,2115,5210,2115,5210
axe,2154,3238,2154,3238
axe,2180,5171,2180,5171
axe,2220,11382,2220,11382
axe,2264,3286,2264,3286
axe,2292,11694,2292,11694
axe,2311,5121,2311,5121
axe,2348,10527,2348,10527
axe,2386,5276,2386,5276
axe,2429,5113,2429,5113
axe,2459,3316,2459,3316
axe,2467,5048,2467,5048
axe,2506,3335,2506,3335
axe,2559,3370,2559,3370
axe,2561,5014,2561,5014
axe,2598,4973,2598,4973
axe,2624,3408,2624,3408
axe,2663,4931,2663,4931
axe,2689,3424,2689,3424
axe,2727,4915,2727,4915
axe,2770,3486,2770,3486
axe,2806,5079,2806,5079
axe,2840,11406,2840,11406
axe,2871,3173,2871,3173
axe,2907,11330,2907,11330
axe,2916,2916,2916,2916
axe,2960,5628,2960,5628
axe,2992,9953,2992,9953
axe,3029,5585,3029,5585
axe,3070,2960,3070,2960
axe,3072,11307,3072,11307
axe,3106,10198,3106,10198
axe,3162,5547,3162,5547
axe,3173,5534,3173,5534
axe,3200,2992,3200,2992
axe,3238,11769,3238,11769
axe,3286,5282,3286,5282
axe,3316,5497,3316,5497
axe,3335,3070,3335,3070
axe,3370,5444,3370,5444
axe,3408,3072,3408,3072
axe,3424,5409,3424,5409
axe,3486,11729,3486,11729
axe,3514,5383,3514,5383
axe,3542,10160,3542,10160
axe,3572,3106,3572,3106
axe,3588,5349,3588,5349
axe,3632,3162,3632,3162
axe,3676,5319,3676,5319
axe,3694,3029,3694,3029
axe,3738,5646,3738,5646
axe,3751,4864,3751,4864
axe,3782,3514,3782,3514
axe,3817,3782,3817,3782
axe,3863,4398,3863,4398
axe,3872,3817,3872,3817
axe,3914,4354,3914,4354
axe,3943,4325,3943,4325
axe,3991,3863,3991,3863
axe,4014,3872,4014,3872
axe,4053,4308,4053,4308
axe,4070,4263,4070,4263
axe,4108,11612,4108,11612
axe,4157,3914,4157,3914
axe,4178,11489,4178,11489
axe,4211,4241,4211,4241
axe,4241,4211,4241,4211
axe,4263,3943,4263,3943
axe,4308,11527,4308,11527
axe,4325,4178,4325,4178
axe,4354,11567,4354,11567
axe,4398,3991,4398,3991
axe,4437,4157,4437,4157
axe,4474,4014,4474,4014
axe,4484,4108,4484,4108
axe,4537,10108,4537,10108
axe,4551,4070,4551,4070
axe,4587,10067,4587,10067
axe,4626,4836,4626,4836
axe,4645,4437,4645,4437
axe,4682,3751,4682,3751
axe,4734,11651,4734,11651
axe,4765,4813,4765,4813
axe,4788,3542,4788,3542
axe,4813,4788,4813,4788
axe,4836,11452,4836,11452
axe,4864,10021,4864,10021
